"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"B.Cu (mm)";
001;"Net-(BMP1-vcc)";24;0;0.0000;654.1011;0.0000;654.1011;0.0000;654.1011;
002;"Net-(BMP1-gnd)";34;0;0.0000;728.5394;0.0000;728.5394;0.0000;728.5394;
003;"Net-(BMP1-SCL)";5;0;0.0000;171.4959;0.0000;171.4959;171.4959;0.0000;
004;"Net-(BMP1-SDA)";5;0;0.0000;182.8697;0.0000;182.8697;182.8697;0.0000;
005;"Net-(D1-A)";2;0;0.0000;5.7332;0.0000;5.7332;5.7332;0.0000;
006;"Net-(D2-A)";2;0;0.0000;6.6532;0.0000;6.6532;6.6532;0.0000;
007;"Net-(R3-Pad2)";2;0;0.0000;29.8292;0.0000;29.8292;29.8292;0.0000;
008;"Net-(DHT1-Data)";2;0;0.0000;27.0570;0.0000;27.0570;27.0570;0.0000;
009;"Net-(MQ1-d0)";2;0;0.0000;67.0848;0.0000;67.0848;67.0848;0.0000;
010;"Net-(NEO6M1-RX)";2;0;0.0000;58.0531;0.0000;58.0531;58.0531;0.0000;
011;"Net-(NEO6M1-TX)";2;0;0.0000;60.7472;0.0000;60.7472;60.7472;0.0000;
012;"Net-(R1-Pad1)";3;0;0.0000;57.0062;0.0000;57.0062;57.0062;0.0000;
013;"Net-(SW1-d0)";2;0;0.0000;55.4105;0.0000;55.4105;55.4105;0.0000;
014;"Net-(SW2-Pad2)";2;0;0.0000;59.5936;0.0000;59.5936;59.5936;0.0000;
015;"Net-(SW3-Pad2)";2;0;0.0000;79.6457;0.0000;79.6457;79.6457;0.0000;
016;"Net-(SW4-Pad2)";2;0;0.0000;56.2630;0.0000;56.2630;56.2630;0.0000;
017;"Net-(TCS1-LED)";2;0;0.0000;36.8654;0.0000;36.8654;36.8654;0.0000;
018;"Net-(TCS1-S2)";2;0;0.0000;36.8857;0.0000;36.8857;36.8857;0.0000;
019;"Net-(TCS1-S3)";2;0;0.0000;40.4878;0.0000;40.4878;40.4878;0.0000;
020;"Net-(TCS1-S0)";2;0;0.0000;42.4373;0.0000;42.4373;42.4373;0.0000;
021;"Net-(TCS1-OUT)";2;0;0.0000;33.2836;0.0000;33.2836;33.2836;0.0000;
022;"Net-(TCS1-S1)";2;0;0.0000;45.3870;0.0000;45.3870;45.3870;0.0000;
023;"Net-(TTP1-Data)";2;0;0.0000;39.7545;0.0000;39.7545;39.7545;0.0000;
028;"Net-(R4-Pad1)";2;0;0.0000;22.0199;0.0000;22.0199;22.0199;0.0000;
031;"Net-(Ultrasonic1-echo)";2;0;0.0000;34.1877;0.0000;34.1877;34.1877;0.0000;
037;"Net-(Ultrasonic1-trig)";2;0;0.0000;33.4660;0.0000;33.4660;33.4660;0.0000;
038;"Net-(R5-Pad1)";2;0;0.0000;18.5923;0.0000;18.5923;18.5923;0.0000;
039;"Net-(SW5-Pad1)";2;0;0.0000;72.5013;0.0000;72.5013;72.5013;0.0000;
040;"Net-(D3-A)";2;0;0.0000;4.8508;0.0000;4.8508;4.8508;0.0000;
